K,N3_rmse,N3_ratio,N5_rmse,N5_ratio,N8_rmse,N8_ratio,N12_rmse,N12_ratio,centralized_rmse
1,1.4674,0.7155,1.5065,0.6970,1.5625,0.6720,1.6354,0.6421,1.0500
2,1.2679,0.8281,1.2894,0.8144,1.3190,0.7960,1.3568,0.7739,1.0500
3,1.1730,0.8951,1.1853,0.8858,1.2016,0.8739,1.2216,0.8595,1.0500
4,1.1279,0.9309,1.1355,0.9247,1.1449,0.9171,1.1560,0.9083,1.0500
5,1.1065,0.9489,1.1116,0.9446,1.1175,0.9396,1.1242,0.9340,1.0500
6,1.0963,0.9578,1.1002,0.9544,1.1043,0.9508,1.1087,0.9471,1.0500
7,1.0915,0.9620,1.0947,0.9592,1.0980,0.9563,1.1012,0.9535,1.0500
8,1.0892,0.9640,1.0921,0.9615,1.0949,0.9590,1.0975,0.9567,1.0500
9,1.0881,0.9650,1.0908,0.9626,1.0934,0.9603,1.0958,0.9582,1.0500
10,1.0875,0.9655,1.0902,0.9631,1.0927,0.9609,1.0949,0.9590,1.0500
11,1.0873,0.9657,1.0899,0.9634,1.0924,0.9612,1.0945,0.9593,1.0500
12,1.0872,0.9658,1.0898,0.9635,1.0922,0.9614,1.0943,0.9595,1.0500
13,1.0871,0.9659,1.0897,0.9635,1.0921,0.9614,1.0942,0.9596,1.0500
14,1.0871,0.9659,1.0897,0.9636,1.0921,0.9615,1.0941,0.9597,1.0500
15,1.0871,0.9659,1.0897,0.9636,1.0921,0.9615,1.0941,0.9597,1.0500
16,1.0871,0.9659,1.0897,0.9636,1.0921,0.9615,1.0941,0.9597,1.0500
17,1.0871,0.9659,1.0897,0.9636,1.0920,0.9615,1.0941,0.9597,1.0500
18,1.0871,0.9659,1.0897,0.9636,1.0920,0.9615,1.0941,0.9597,1.0500
19,1.0871,0.9659,1.0897,0.9636,1.0920,0.9615,1.0941,0.9597,1.0500
20,1.0871,0.9659,1.0897,0.9636,1.0920,0.9615,1.0941,0.9597,1.0500
